FID,Id,ORIG_FID,u,v,key,osmid,highway,oneway,length,from_,to,lanes,name,ref,bridge,tunnel,junction,maxspeed,width,access,DSM_草场,nj_dsm
0,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,7
1,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,7
2,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,7
3,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,7
4,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,7
5,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,4
6,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,4
7,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
8,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
9,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,7
10,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,15,5
11,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,9,4
12,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,9,2
13,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,3
14,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,3
15,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
16,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
17,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,5
18,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,5
19,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,9,5
20,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
21,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
22,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
23,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
24,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,8,6
25,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,7
26,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,6
27,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,7
28,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,7
29,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,7
30,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,4
31,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,7
32,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,7
33,0,0,4020806582,8201270621,0,254608636,trunk,TRUE,518.292,8201270621,4020806582,3,江东快速路, , , , , , , ,-9999,6
